Name,Manga,Anime,Appears in,Japanese,English,Birthdate,Sex,Status,Height,Weight,Blood type,Occupation,Affiliation,Ninja Rank,Novel,Movie,Game,OVA,Age,Team,Partner,Ninja Registration,Family,Nature Type,Jutsu,Tools,Kekkei Genkai,Clan,Species,Classification,Chūnin Prom. Age,Academy Grad. Age,Unique Traits,Tailed Beast,Jinchūriki,Kekkei Mōra,Kekkei Tōta
['Agira Ryūdōin'],,['Naruto Episode #196'],['Anime'],,['Keith Silverstein'],,['Male'],['Deceased'],,,,,,,,,,,,,,,['Family\n\t\nGenshō Ryūdōin (Son)\nJakō Ryūdōin (Son)\nRokkaku Ryūdōin (Son)'],,['Jutsu\n\n\nWooden Puppet Manipulation Technique'],,,,,,,,,,,,
['Ahiko'],['Naruto Chapter #350'],['Naruto Shippūden Episode #117'],"['Anime, Manga']",['Ichirota Koizumi'],,,['Male'],,,,,['Prisoner'],,,,,,,['Part II: 25'],,,,,,,,,,,,,,,,,,
['Aho Bird'],,['Naruto Episode #55'],"['Anime, Game']",,,,,,,,,,,,,,['Naruto: Ultimate Ninja Online'],,,,,,,,,,,,['Crow'],,,,,,,,
['Aino'],,['Naruto Shippūden Episode #460'],['Anime'],['Ayako Takeuchi'],['Cassandra Morris'],,['Female'],['Deceased'],['Part II: 159.7 cm'],,,['Attendant of the Land of Ancestors'],['Land of Ancestors'],,,,,,,,,,,,,,,,,,,,,,,,
['Ajisai'],['Naruto Chapter #407'],['Naruto Shippūden Episode #155'],"['Anime, Manga, Game']",['Shiho Hisajima'],['Stephanie Sheh \nKari Wahlgren   (Naruto Shippūden: Ultimate Ninja Storm 2)'],,['Female'],['Deceased'],['Part II: 155.6  cm'],,,,['Amegakure'],['Part I: Genin\nPart II: Chūnin'],,,['Naruto Shippūden: Ultimate Ninja Storm 2'],['Naruto x UT'],,['Team Ajisai (Anime only)'],,,,,['Jutsu\n\n\nEnclosing Technique (Anime only)\n\n\nSummoning Technique (Panda) (Anime only)\n\n\nSummoning: Rainwater Gate (Anime only)\n\n\nUnsealing Technique (Anime only)\n\n\nUnsealing Technique: Paper Snowstorm (Anime only)\n\n\nUnsealing Technique: Shuriken (Anime only)'],,,,,,,,,,,,
['Akaboshi'],,['Naruto Shippūden Episode #144'],['Anime'],['Akimitsu Takase'],['Christopher Corey Smith'],,['Male'],,,,,,,,,,,,,['Magaki Group'],,,,['Nature Type\n        \n Lightning Release'],['Jutsu\n\n\nBarrier Shattering Technique\n\n\nChakra Transfer Technique\n\n\nCombination Transformation\n\n\nHurricane Thunderclap\n\n\nImpermanence of Worldly Things\n\n\nInfinite Embrace\n\n\nMultiple Infinite Embraces\n\n\nShadow Rope Technique\n\n\nTelegram Flash'],,,,,,,,,,,,
['Akahoshi'],,['Naruto Episode #178'],['Anime'],['Mitsuru Miyamoto'],['Kirk Thornton'],,['Male'],,,,,['Hoshikage'],['Hoshigakure'],['Part I: Kage'],,,,,,,,,,,['Jutsu\n\n\nMysterious Peacock Method'],['Tools\n\n\nMeteorite'],,,,,,,,,,,
['Akamaru'],['Naruto Chapter #39'],['Naruto Episode #23'],"['Anime, Manga, Novel, Game, Movie']",['Junko Takeuchi \nKōsuke Toriumi   (Man-Beast Form)'],['Jamie Simone \nKyle Hebert   (Man-Beast Form)'],['July 7'],['Male'],,['Part I: 28 cm–29.1  cm\nPart II: 127.2  cm'],['Part I: 5.1 kg–5.3  kg\nPart II: 80.5  kg'],,,['Konohagakure\n Allied Shinobi Forces'],,['Kakashi Hiden: Lightning in the Icy Sky'],['Naruto Shippūden the Movie: The Will of Fire'],['Naruto: Konoha Ninpōchō'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 3–4\nPart II: 7–8'],['Team 8\n Konoha 11 (Anime only)\n Sasuke Recovery Team\n Bikōchū Search Team (Anime only)\n Team Two (Anime only)\n Eight Man Squad\n Fifth Division'],['Kiba Inuzuka'],,,,['Jutsu\n\n\nBeast Human Clone\n\n\nCombination Transformation\n\n\nDynamic Marking\n\n\nFang Passing Fang\n\n\nFang Rotating Fang\n\n\nFang Wolf Fang\n\n\nHuman Beast Combination Transformation: Double-Headed Wolf\n\n\nHuman Beast Mixture Transformation — Three-Headed Wolf\n\n\nPassing Fang\n\n\nSuper Fang Wolf Fang (Anime only)\n\n\nTail Chasing Fang Fang Rotating Fang'],['Tools\n\n\nMilitary Rations Pill'],,['Inuzuka Clan'],['Ninken'],,,,,,,,
['Akane'],['Naruto Chapter #20'],['Naruto Episode #11'],"['Anime, Manga']",['Yūko Satō\nToa Yukinari   (Part II)'],['Julianne Buescher \nLaura Bailey   (Part II)'],,['Male'],,,,,['Carpenter'],['Land of Waves'],,,,,,['Part I: 9'],,,,"[""Family\n\t\nAkane's Father (Father) (Anime only)""]",,,,,,,,,,,,,,
['Akane (Kunoichi)'],,['Naruto Shippūden Episode #479'],"['Anime, Novel, Movie']",['Riho Takada'],['Debi Mae West'],,['Female'],,,,,,['Konohagakure'],,['The Last: Naruto the Movie'],['The Last: Naruto the Movie'],,,,"[""Naruto's Fan Girls""]",,,,,,,,,,,,,,,,,
"[""Akane's Father""]",,['Naruto Shippūden Episode #180'],['Anime'],,['Patrick Seitz'],,['Male'],,,,,,['Land of Waves'],,,,,,,,,,['Family\n\t\nAkane (Son)'],,,,,,,,,,,,,,
['Akari'],,['Boruto Episode #210'],['Anime'],['Haruna Kakiage'],['Colleen Villard'],,['Female'],,,,,['Cultist'],,,,,,,,,,,['Family\n\t\nKagari  (Brother)'],,,,,,,,,,,,,,
['Akari Tatsushiro'],,,['Game'],['Sanae Kobayashi'],['Eden Riegel'],,['Female'],,,,,,,,,,['Naruto Shippūden: Dragon Blade Chronicles'],,['Part II: 16'],,,,['Family\n\t\nKuroma Tatsushiro (Brother)'],,,,,['Ryū Clan'],,,,,,,,,
['Akatsuchi'],['Naruto Chapter #454'],['Naruto Shippūden Episode #199'],"['Anime, Manga, Novel, Game, Movie']",['Kenta Miyake'],['Kyle Hebert'],['January 11'],['Male'],,['Part II: 200 cm\nGaiden: 212.8  cm'],['Part II: 137 kg'],['B'],"[""Tsuchikage's Bodyguard\nTsuchikage's Assistant""]",['Iwagakure\n Allied Shinobi Forces'],['Part II: Jōnin'],['Kakashi Hiden: Lightning in the Icy Sky'],['The Last: Naruto the Movie'],['Naruto Shippūden 3D: The New Era'],,['Part II: 20'],,['Kurotsuchi'],['IW-08718'],,['Nature Type\n        \n Earth Release'],['Jutsu\n\n\nEarth Release: Fist Rock Technique (Anime only)\n\n\nEarth Release: Golem Technique\n\n\nEarth Release: Reverse Antlion (Anime only)\n\n\nEarth Release: Sandwich Technique (Anime only)'],,,,,,,,,,,,
['Akebi Sanzu'],['Boruto Chapter #75'],['Boruto Episode #220 (Mentioned)'],"['Anime, Manga']",,,,['Female'],['Deceased'],,,,,,,,,,,['Boruto Manga: 24'],,,,['Family\n\t\nAmado Sanzu (Father)\nDelta (Clone)'],,,,,,,,,,,,,,
['Akemaru'],,['Boruto Episode #93'],"['Anime, Novel']",,,,['Male'],,,,,,['Konohagakure'],,['Naruto Shinden: Parent and Child Day'],,,,,,,,,,,,,['Inuzuka Clan'],['Ninken'],,,,,,,,
['Akino'],['Naruto Chapter #29'],['Naruto Episode #17'],"['Anime, Manga, Novel, Game, Movie']",,,,['Male'],,,,,,['Konohagakure'],,"['Naruto: Innocent Heart, Demonic Blood']",['Road to Ninja: Naruto the Movie'],['Naruto: Ultimate Ninja'],,,,,,,,['Jutsu\n\n\nCircular Formation (Anime only)\n\n\nCrane Wing Formation (Anime only)\n\n\nDog Wall Formation (Anime only)\n\n\nNinken Ninja Art: Dance of the Dust Cloud (Anime only)'],,,,['Ninken'],['Summon'],,,,,,,
['Akio'],,['Naruto Episode #209'],['Anime'],['Satoshi Hino \nMami Shitara  (Child)'],['Johnny Yong Bosch'],,['Male'],,,,,,['Land of Forests'],,,,,,,,,,['Family\n\t\nTodoroki (Brother)'],,,['Tools\n\n\nSpear\n\n\nSword'],,,,,,,,,,,
['Akita Inuzuka'],['Boruto Chapter #18'],['Boruto Episode #183'],"['Anime, Manga']",['Kyōko Hikami'],['Erin Yvette'],['April 20'],['Female'],,,,,"[""Scientist\nKatasuke Tōno's Assistant""]",['Konohagakure'],,,,,,,['Scientific Ninja Weapons Team'],['Chamaru'],,,,['Jutsu\n\n\nFang Passing Fang\n\n\nFour Legs Technique\n\n\nPassing Fang'],['Tools\n\n\nShinobi Gauntlet (Anime only)'],,['Inuzuka Clan'],,,,,,,,,
['Akkun'],,['Boruto Episode #81'],['Anime'],['Ryōko Shiraishi'],,,,['Deceased'],,,,,['Iwagakure\n Konohagakure'],,,,,,,['Fabrications'],,,['Family\n\t\nInojin Yamanaka (Owner)'],,,,,,['Akuta'],,,,,,,,
['Amachi'],,['Naruto Episode #170'],['Anime'],['Hideyuki Umezu'],['Doug Stone'],,['Male'],,,,,['Scientist'],['Land of the Sea\n Otogakure'],,,,,,,,,,,['Nature Type\n        \n Water Release'],['Jutsu\n\n\nKaima Form\n\n\nScale Senbon\n\n\nSummoning Technique (Umibōzu)\n\n\nWater Release: Large Projectile'],['Tools\n\n\nScalpel'],,,,['Medical-nin'],,,,,,,
['Amado Sanzu'],['Boruto Chapter #26'],['Boruto Episode #179'],"['Anime, Manga, Game']",['Akio Ōtsuka'],['Greg Chun'],,['Male'],,,,,['Scientist\nInner  (Former)'],['Kara\n Konohagakure'],,,,['Naruto x Boruto: Ninja Voltage'],,,['Scientific Ninja Weapons Team'],,,['Family\n\t\nAkebi Sanzu (Daughter)\nDelta (Creation/Clone Daughter)\nKoji Kashin (Creation)'],['Nature Type\n        \n Yin Release'],['Jutsu\n\n\nGenjutsu Communication'],['Tools\n\n\nSpace-Time Gate'],,,,,,,,,,,
['Amagi'],,,['Novel'],,,,['Male'],,,,,,['Sunagakure'],['Blank Period: Chūnin'],['Gaara Hiden: A Sandstorm Mirage'],,,,,['Counter-Terrorism Division'],,,,,['Jutsu\n\n\nManipulating Attack Blades'],['Tools\n\n\nKatar'],,,,,['13'],,,,,,
['Amagi Izuno'],,['Boruto Episode #224'],['Anime'],['Rikako Aikawa'],,,['Female'],,,,,['Head of the Izuno Clan'],['Konohagakure'],,,,,,,,,,['Family\n\t\nDaruma Izuno (Son)\nWasabi Izuno (Granddaughter)'],,,,,['Izuno Clan'],,,,,,,,,
['Amai'],,['Naruto Shippūden Episode #286'],['Anime'],['Tomohiro Tsuboi'],['Nicolas Roye'],,['Male'],,,,,,['Kumogakure'],,,,,,,,,,,,['Jutsu\n\n\nMystical Palm Technique'],,,,,['Medical-nin'],,,,,,,
['Amaru'],,,['Movie'],['Motoko Kumai'],['Michelle Ruff'],,['Female'],,['Part II: 159  cm'],,,['Apprentice Doctor'],['Land of Fire'],,,['Naruto Shippūden the Movie: Bonds'],,,['Part II: 15'],,,,,,,['Tools\n\n\nScalpel\n\n\nWinged Mechanical Device'],,,,,,,,,,,
['Amayo'],,,['Movie'],['Marika Hayashi'],['Bridget Hoffman'],,['Female'],,,,,,,,,['Naruto the Movie: Guardians of the Crescent Moon Kingdom'],,,,,,,['Family\n\t\nHikaru Tsuki (Son)\nMichiru Tsuki (Ex-Husband)'],,,,,,,,,,,,,,
['Ameno'],,['Naruto Shippūden Episode #395'],['Anime'],['Arisa Shida'],['Dorothy Elias-Fahn'],,['Female'],,['Part I: 162  cm'],,,,['Sunagakure'],['Part I: Genin'],,,,,,['Team Ameno'],,,,['Nature Type\n        \n Water Release'],['Jutsu\n\n\nMedical Water Release: Jellyfish\n\n\nMedical Water Release: Water Mosquito\n\n\nMedical Water Release: Water Scorpion\n\n\nMystical Palm Technique'],['Tools\n\n\nScalpel'],,,,['Medical-nin'],,,,,,,
['Ameyuki'],,,['Novel'],,,,['Male'],['Deceased'],,,,,['Shangri-la'],,['Akatsuki Hiden: Evil Flowers in Full Bloom'],,,,,,,,,['Nature Type\n        \n Mud Release\n Earth Release\n Water Release'],['Jutsu\n\n\nMud Release: Bottomless Mud Hole\n\n\nMud Release: Landslide\n\n\nMud Release: Mud Doll\n\n\nMud Release: Muddy Water Wall'],,['Mud Release'],,,,,,,,,,
['Ameyuri Ringo'],['Naruto Chapter #522'],['Naruto Shippūden Episode #265'],"['Anime, Manga, Game']",['Seiko Tamura'],['Michelle Ruff'],['June 7'],['Female'],['Deceased'],['Part II: 143.5 cm'],['Part II: 45 kg'],['AB'],,['Kirigakure'],['Part II: Jōnin'],,,['Naruto Shippūden: Ultimate Ninja Storm 3'],,,['Seven Ninja Swordsmen of the Mist'],,,,['Nature Type\n        \n Lightning Release (Anime only)'],['Jutsu\n\n\nLightning Release: Depth Charge (Anime only)\n\n\nLightning Release: Lightning Fang (Anime only)\n\n\nLightning Release: Thunder Gate (Anime only)\n\n\nSilent Killing\n\n\nThunderswords Technique: Thunderbolt (Anime only)'],['Tools\n\n\nKiba'],,,,,,,,,,,
['Ami'],['Naruto Chapter #71'],['Naruto Episode #41'],"['Anime, Manga']",['Ema Kogure'],['Julianne Buescher'],,['Female'],,,,,,['Konohagakure'],['Part I: Academy Student'],,,,,['Part I: 12'],,,,,,,,,,,,,,,,,,
['Amino'],,['Naruto Shippūden Episode #484'],"['Anime, Novel']",['Ryōka Yuzuki'],,,['Female'],['Deceased'],,,,,['Bamboo Village'],,['Sasuke Shinden: Book of Sunrise'],,,,,,,,['Family\n\t\nIō  (Father)'],,,,,,,,,,,,,,
['Amuda'],,,['Novel'],,,,['Male'],,,,,,['Kirigakure'],,['Sasuke Shinden: Book of Sunrise'],,,,,['Lightning Group'],,,,,,,,,,,,,,,,,
['Anaguma'],,['Boruto Episode #275'],['Anime'],['Ryūichi Kijima'],,,['Male'],,,,,['Bounty Hunter'],['Kirigakure'],,,,,,,,,,,['Nature Type\n        \n Water Release'],['Jutsu\n\n\nWater Release: Water Snake Threads'],,,,,,,,,,,,
['Anato'],,['Boruto Episode #158'],['Anime'],['Katsunori Okai'],['Cory Yee'],,['Male'],['Deceased'],,,,['Researcher'],['Land of Valleys'],,,,,,,,,,['Family\n\t\nMia (Wife)'],,,,,,,,,,,,,,
['Anbu Commander'],['Naruto Chapter #121'],['Naruto Episode #72'],"['Anime, Manga, Game']",['Kōzō Dōzaka'],['Steve Staley  (Part I)'],,['Male'],,,,,['Head Anbu'],['Konohagakure'],['Part I: Anbu'],,,['Naruto: Ultimate Ninja Online'],,,,,,,,['Jutsu'],['Tools\n\n\nSword'],,,,,,,,,,,
['Aniki'],,['Naruto Episode #101'],"['Anime, Game']",['Yutaka Aoyama'],['Steven Blum'],,['Male'],,['Part I: 181 cm'],,,,,,,,['Naruto: Path of the Ninja 2'],,,['Moya Triad'],,,,,,['Tools\n\n\nPoison'],,,,,,,,,,,
['Aniki (missing-nin)'],,['Boruto Episode #266'],['Anime'],['Ryūichi Kijima'],,,['Male'],,,,,,,['Boruto Manga: Genin'],,,,,,,,,,['Nature Type\n        \n Fire Release'],['Jutsu\n\n\nFire Release: Fire Dragon Wall\n\n\nFire Release: Great Fireball Technique\n\n\nFire Release: Phoenix Sage Fire Technique'],,,,,['Missing-nin'],,,,,,,
['Anko Mitarashi'],['Naruto Chapter #44'],['Naruto Episode #21'],"['Anime, Manga, Game, Movie']",['Takako Honda'],['Julianne Buescher  (Chūnin Exams (Arc) - Kurosuki Family Removal Mission and Fourth Shinobi World War: Confrontation)\nLaura Bailey  (Kaima Capture Mission and Part II)\nCherami Leigh  (Academy Entrance Arc and onwards)\nKari Wahlgren  (Ultimate Ninja 2)'],['October 24'],['Female'],,['Part I: 167  cm'],['Part I: 45.8  kg'],['A'],['Chūnin Exams Proctor\nAcademy Teacher\nGenin Exams Proctor  (Anime only)'],['Konohagakure\n Ryūchi Cave\n Allied Shinobi Forces'],['Part I: Tokubetsu Jōnin'],,['Naruto Shippūden the Movie'],['Naruto: Ninja Council'],['Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!'],['Part I: 24\nPart II: 28'],['Team Orochimaru\n Kaima Capture Team (Anime only)\n Infiltration and Reconnaissance Party'],,['011226'],,['Nature Type\n        \n Fire Release (Anime only)\n Yin Release (Anime only)'],['Jutsu\n\n\nCursed Seal of Heaven\n\n\nFire Release: Dragon Fire Technique (Anime only)\n\n\nHidden Shadow Snake Hands\n\n\nMany Hidden Shadow Snake Hands\n\n\nSly Mind Affect Technique (Anime only)\n\n\nSnake Clone Technique (Anime only)\n\n\nSummoning Technique (Snake)\n\n\nTwin Snakes Mutual Death Technique'],['Tools\n\n\nKatar (Manga only)\n\n\nSenbon (Anime only)'],,,,,['12'],['10'],,,,,
['Ankorodō Shop Owner'],,['Boruto Episode #94'],"['Anime, Novel']",['Mizue Ōtsuka'],,,['Female'],,,,,['Shop owner'],['Konohagakure\n Ankorodō'],,['Naruto Shinden: Parent and Child Day'],,,,,,,,,['Nature Type\n        \n Earth Release'],['Jutsu\n\n\nAnkorodō Hiden Ninjutsu: Mochi Release: Infinite Dumplings'],,,,,,,,,,,,
['Ao'],['Naruto Chapter #454'],['Naruto Shippūden Episode #199'],"['Anime, Manga, Novel, Game']",['Tadahisa Saizen'],['Steven Blum'],['August 1'],['Male'],['Deceased'],['Part II: 182 cm'],['Part II: 70.9 kg'],['A'],"[""Fifth Mizukage's Bodyguard\nCaptain of the Sensor Division of the Allied Shinobi Forces\nOuter""]",['Kirigakure\n Allied Shinobi Forces\n Kara'],['Part II: Jōnin'],['Sasuke Shinden: Book of Sunrise (Mentioned)'],,['Naruto Shippūden: Ultimate Ninja Impact'],,['Part II: 46'],['Sensor Division'],['Heki'],,,['Nature Type\n        \n Water Release\n Yin Release'],['Jutsu\n\n\nBarrier Talisman: Armoured Eye\n\n\nSensing Technique\n\n\nSensing Water Sphere\n\n\nWater Release: Water Colliding Wave'],['Tools\n\n\nChakra Blade\n\n\nJutsu Absorption Arm\n\n\nMirror Drone\n\n\nShinobi Gauntlet'],['Byakugan'],,,['Sensor Type\nHunter-nin'],,,,,,,
['Aoba Yamashiro'],['Naruto Chapter #93'],['Naruto Episode #67'],"['Anime, Manga, Novel, Game, Movie']",['Kenjirō Tsuda'],['Wally Wingert'],['September 3'],['Male'],,['Part I: 178  cm'],['Part I: 66  kg'],['O'],,['Konohagakure\n Allied Shinobi Forces'],['Part I: Tokubetsu Jōnin'],['Sasuke Shinden: Book of Sunrise'],['Naruto the Movie: Blood Prison'],['Naruto Shippūden: Ultimate Ninja Storm 3'],['Hidden Leaf Village Grand Sports Festival!'],['Part I: 30\nPart II: 34'],['Twenty Platoons\n Intelligence Division'],,['009744'],,['Nature Type\n        \n Fire Release (Anime only)'],['Jutsu\n\n\nFire Release: Fire Dragon Bullet (Anime only)\n\n\nPsycho Mind Transmission\n\n\nScattering Thousand Crows Technique\n\n\nSecret Technique Stone Needles'],,,,,,,,,,,,
['Aoda'],['Naruto Chapter #633'],['Naruto Shippūden Episode #373'],"['Anime, Manga, Novel, Game']",['Kōsuke Gotō'],['Patrick Seitz'],['October 1'],['Male'],,,,,,['Ryūchi Cave\n Konohagakure'],,['Sasuke Shinden: Book of Sunrise'],,['Naruto Shippūden: Ultimate Ninja Storm Revolution'],,,,,,,,,,,,['Snake'],['Summon'],,,,,,,
['Aoi (game)'],,,['Game'],['Masumi Asano'],['Laura Bailey'],,['Female'],,,,,,['Tree Felling Village'],,,,['Naruto Shippūden: Ultimate Ninja 4'],,,,,,['Family\n\t\nTsubaki  (Mother)'],,,,,,,,,,,,,,
['Aoi Rokushō'],,['Naruto Episode #102'],"['Anime, Game']",['Ryōtarō Okiayu'],['Cam Clarke'],,['Male'],['Deceased'],['Part I: 182.5  cm'],,,,['Konohagakure\n Amegakure'],['Part I: Jōnin'],,,['Naruto: The Broken Bond'],,,['Team Oboro'],,,,['Nature Type\n        \n Water Release'],['Jutsu\n\n\nSenbon Shower\n\n\nUmbrella Shock Wave'],['Tools\n\n\nPoison\n\n\nSenbon\n\n\nSword of the Thunder God\n\n\nUmbrella'],,,,['Missing-nin'],,,,,,,
['Aoneko'],,,['Game'],,,,['Male'],,,,,['Cat Quiz Proprietor'],['Konohagakure'],,,,['Naruto: Ultimate Ninja Online'],,,,,,,['Nature Type\n        \n Water Release'],,,,,['Cat'],,,,,,,,
['Aosa'],,['Boruto Episode #229'],['Anime'],['Jin Domon'],,,['Male'],,,,,,['File:Land of Calm Seas Symbol.svg Land of Calm Seas'],,,,,,,,,,,,,,,,,['Medical-nin'],,,,,,,
['Arai'],,['Boruto Episode #141'],['Anime'],['Ryōta Suzuki'],['Todd Haberkorn'],,['Male'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Arashi'],,['Naruto Episode #137'],['Anime'],['Hikaru Midorikawa'],['Benjamin Diskin'],,['Male'],['Deceased'],,,,,['Otogakure'],,,,,,,,,,['Family\n\t\nSasame (Younger Cousin)'],,['Jutsu\n\n\nCasualty Puppet\n\n\nCurse Mandala'],,,['Fūma Clan (Land of Sound)'],,,,,,,,,
['Arashi Umeya'],,,['Anime'],,,,['Male'],,,,,,['Sunagakure'],['Part II: Genin'],,,,['Chūnin Exam on Fire! Naruto vs. Konohamaru!'],,,,,,['Nature Type\n        \n Lightning Release'],,['Tools\n\n\nKama'],,,,,,,,,,,
['Araumi Funato'],,['Boruto Episode #233'],['Anime'],['Shigeru Chiba'],,,['Male'],,,,,['Head of the Funato Clan\nPirate'],['Land of Water'],,,,,,,,,,['Family\n\t\nIkada Funato (Son)\nIsari Funato (Son)\nSeiren Funato (Daughter)\nMinamo Funato (Wife)\nTenma Funato (Adoptive Son)'],['Nature Type\n        \n Water Release'],['Jutsu\n\n\nWater Release: Blood Conversion Technique'],['Tools\n\n\nChakra Cannon\n\n\nMarlin Harpoon\n\n\nSpear'],,['Funato Clan'],,,,,['Unique Traits\n\t\nGills'],,,,
['Araya'],['Boruto Chapter #3'],['Boruto Episode #55'],"['Anime, Manga, Novel, Movie']",['Junji Iki'],['Catero Colbert'],['March 13'],['Male'],,['Gaiden: 153  cm'],,,,['Sunagakure'],['Gaiden: Chūnin'],['Boruto: Naruto the Movie'],['Boruto: Naruto the Movie'],,,,['Team Shinki'],,,,,['Jutsu\n\n\nPuppet Technique (Anime only)'],['Tools\n\n\nSanshōuo (Anime only)\n\n\nSpear (Anime only)\n\n\nSword'],,,,,,,,,,,
['Armadiko'],['Naruto Chapter #513'],['Naruto Shippūden Episode #254'],"['Anime, Manga']",,,,['Male'],,,,,,['Kumogakure'],,,,,,,,,,,,,,,,['Armadillo'],,,,,,,,
