Name;Manga;Anime;Appears in;Japanese;English;Birthdate;Sex;Status;Height;Weight;Blood type;Occupation;Affiliation;Ninja Rank;Novel;Movie;Game;OVA;Age;Team;Partner;Ninja Registration;Family;Nature Type;Jutsu;Tools;Kekkei Genkai;Clan;Species;Classification;Chūnin Prom. Age;Academy Grad. Age;Unique Traits;Tailed Beast;Jinchūriki;Kekkei Mōra;Kekkei Tōta
Akatsuchi;Naruto Chapter #454;Naruto Shippūden Episode #199;Anime, Manga, Novel, Game, Movie;Kenta Miyake;Kyle Hebert;January 11;Male;;212.8;137;B;Tsuchikages Bodyguard, Tsuchikages Assistant;Iwagakure, Allied Shinobi Forces;Part II: Jōnin;Kakashi Hiden: Lightning in the Icy Sky;The Last: Naruto the Movie;Naruto Shippūden 3D: The New Era;;20;;Kurotsuchi;IW-08718;;Earth Release;Earth Release: Fist Rock Technique (Anime only), Earth Release: Golem Technique, Earth Release: Reverse Antlion (Anime only), Earth Release: Sandwich Technique (Anime only);;;;;;;;;;;;
Akebi Sanzu;Boruto Chapter #75;Boruto Episode #220 (Mentioned);Anime, Manga;;;;Female;Deceased;;;;;;;;;;;24;;;;Amado Sanzu (Father), Delta (Clone);;;;;;;;;;;;;;
Akemaru;;Boruto Episode #93;Anime, Novel;;;;Male;;;;;;Konohagakure;;Naruto Shinden: Parent and Child Day;;;;;;;;;;;;;Inuzuka Clan;Ninken;;;;;;;;
Akino;Naruto Chapter #29;Naruto Episode #17;Anime, Manga, Novel, Game, Movie;;;;Male;;;;;;Konohagakure;;Naruto: Innocent Heart, Demonic Blood;Road to Ninja: Naruto the Movie;Naruto: Ultimate Ninja;;;;;;;;Circular Formation (Anime only), Crane Wing Formation (Anime only), Dog Wall Formation (Anime only), Ninken Ninja Art: Dance of the Dust Cloud (Anime only);;;;Ninken;Summon;;;;;;;
Akio;;Naruto Episode #209;Anime;Satoshi Hino , Mami Shitara (Child);Johnny Yong Bosch;;Male;;;;;;Land of Forests;;;;;;;;;;Todoroki (Brother);;;Spear, Sword;;;;;;;;;;;
Akita Inuzuka;Boruto Chapter #18;Boruto Episode #183;Anime, Manga;Kyōko Hikami;Erin Yvette;April 20;Female;;;;;Scientist, Katasuke Tōnos Assistant;Konohagakure;;;;;;;Scientific Ninja Weapons Team;Chamaru;;;;Fang Passing Fang, Four Legs Technique, Passing Fang;Shinobi Gauntlet (Anime only);;Inuzuka Clan;;;;;;;;;
Akkun;;Boruto Episode #81;Anime;Ryōko Shiraishi;;;;Deceased;;;;;Iwagakure, Konohagakure;;;;;;;Fabrications;;;Inojin Yamanaka (Owner);;;;;;Akuta;;;;;;;;
Amachi;;Naruto Episode #170;Anime;Hideyuki Umezu;Doug Stone;;Male;;;;;Scientist;Land of the Sea, Otogakure;;;;;;;;;;;Water Release;Kaima Form, Scale Senbon, Summoning Technique (Umibōzu), Water Release: Large Projectile;Scalpel;;;;Medical-nin;;;;;;;
Amado Sanzu;Boruto Chapter #26;Boruto Episode #179;Anime, Manga, Game;Akio Ōtsuka;Greg Chun;;Male;;;;;Scientist, Inner (Former);Kara, Konohagakure;;;;Naruto x Boruto: Ninja Voltage;;;Scientific Ninja Weapons Team;;;Akebi Sanzu (Daughter), Delta (Creation/Clone Daughter), Koji Kashin (Creation);Yin Release;Genjutsu Communication;Space-Time Gate;;;;;;;;;;;
Amagi;;;Novel;;;;Male;;;;;;Sunagakure;Blank Period: Chūnin;Gaara Hiden: A Sandstorm Mirage;;;;;Counter-Terrorism Division;;;;;Manipulating Attack Blades;Katar;;;;;13;;;;;;
Amagi Izuno;;Boruto Episode #224;Anime;Rikako Aikawa;;;Female;;;;;Head of the Izuno Clan;Konohagakure;;;;;;;;;;Daruma Izuno (Son), Wasabi Izuno (Granddaughter);;;;;Izuno Clan;;;;;;;;;
Amai;;Naruto Shippūden Episode #286;Anime;Tomohiro Tsuboi;Nicolas Roye;;Male;;;;;;Kumogakure;;;;;;;;;;;;Mystical Palm Technique;;;;;Medical-nin;;;;;;;
Amaru;;;Movie;Motoko Kumai;Michelle Ruff;;Female;;159;;;Apprentice Doctor;Land of Fire;;;Naruto Shippūden the Movie: Bonds;;;15;;;;;;;Scalpel, Winged Mechanical Device;;;;;;;;;;;
Amayo;;;Movie;Marika Hayashi;Bridget Hoffman;;Female;;;;;;;;;Naruto the Movie: Guardians of the Crescent Moon Kingdom;;;;;;;Hikaru Tsuki (Son), Michiru Tsuki (Ex-Husband);;;;;;;;;;;;;;
Ameno;;Naruto Shippūden Episode #395;Anime;Arisa Shida;Dorothy Elias-Fahn;;Female;;162;;;;Sunagakure;Part I: Genin;;;;;;Team Ameno;;;;Water Release;Medical Water Release: Jellyfish, Medical Water Release: Water Mosquito, Medical Water Release: Water Scorpion, Mystical Palm Technique;Scalpel;;;;Medical-nin;;;;;;;
Ameyuki;;;Novel;;;;Male;Deceased;;;;;Shangri-la;;Akatsuki Hiden: Evil Flowers in Full Bloom;;;;;;;;;Mud Release, Earth Release, Water Release;Mud Release: Bottomless Mud Hole, Mud Release: Landslide, Mud Release: Mud Doll, Mud Release: Muddy Water Wall;;Mud Release;;;;;;;;;;
Ameyuri Ringo;Naruto Chapter #522;Naruto Shippūden Episode #265;Anime, Manga, Game;Seiko Tamura;Michelle Ruff;June 7;Female;Deceased;143.5;45;AB;;Kirigakure;Part II: Jōnin;;;Naruto Shippūden: Ultimate Ninja Storm 3;;;Seven Ninja Swordsmen of the Mist;;;;Lightning Release (Anime only);Lightning Release: Depth Charge (Anime only), Lightning Release: Lightning Fang (Anime only), Lightning Release: Thunder Gate (Anime only), Silent Killing, Thunderswords Technique: Thunderbolt (Anime only);Kiba;;;;;;;;;;;
Ami;Naruto Chapter #71;Naruto Episode #41;Anime, Manga;Ema Kogure;Julianne Buescher;;Female;;;;;;Konohagakure;Part I: Academy Student;;;;;12;;;;;;;;;;;;;;;;;;
Amino;;Naruto Shippūden Episode #484;Anime, Novel;Ryōka Yuzuki;;;Female;Deceased;;;;;Bamboo Village;;Sasuke Shinden: Book of Sunrise;;;;;;;;Iō (Father);;;;;;;;;;;;;;
Amuda;;;Novel;;;;Male;;;;;;Kirigakure;;Sasuke Shinden: Book of Sunrise;;;;;Lightning Group;;;;;;;;;;;;;;;;;
Anaguma;;Boruto Episode #275;Anime;Ryūichi Kijima;;;Male;;;;;Bounty Hunter;Kirigakure;;;;;;;;;;;Water Release;Water Release: Water Snake Threads;;;;;;;;;;;;
Anato;;Boruto Episode #158;Anime;Katsunori Okai;Cory Yee;;Male;Deceased;;;;Researcher;Land of Valleys;;;;;;;;;;Mia (Wife);;;;;;;;;;;;;;
Anbu Commander;Naruto Chapter #121;Naruto Episode #72;Anime, Manga, Game;Kōzō Dōzaka;Steve Staley (Part I);;Male;;;;;Head Anbu;Konohagakure;Part I: Anbu;;;Naruto: Ultimate Ninja Online;;;;;;;;Jutsu;Sword;;;;;;;;;;;
Aniki;;Naruto Episode #101;Anime, Game;Yutaka Aoyama;Steven Blum;;Male;;181;;;;;;;;Naruto: Path of the Ninja 2;;;Moya Triad;;;;;;Poison;;;;;;;;;;;
Aniki (missing-nin);;Boruto Episode #266;Anime;Ryūichi Kijima;;;Male;;;;;;;Boruto Manga: Genin;;;;;;;;;;Fire Release;Fire Release: Fire Dragon Wall, Fire Release: Great Fireball Technique, Fire Release: Phoenix Sage Fire Technique;;;;;Missing-nin;;;;;;;
Anko Mitarashi;Naruto Chapter #44;Naruto Episode #21;Anime, Manga, Game, Movie;Takako Honda;Julianne Buescher (Chūnin Exams (Arc) - Kurosuki Family Removal Mission and Fourth Shinobi World War: Confrontation), Laura Bailey (Kaima Capture Mission and Part II), Cherami Leigh (Academy Entrance Arc and onwards), Kari Wahlgren (Ultimate Ninja 2);October 24;Female;;167;45.8;A;Chūnin Exams Proctor, Academy Teacher, Genin Exams Proctor (Anime only);Konohagakure, Ryūchi Cave, Allied Shinobi Forces;Part I: Tokubetsu Jōnin;;Naruto Shippūden the Movie;Naruto: Ninja Council;Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!;28;Team Orochimaru, Kaima Capture Team (Anime only), Infiltration and Reconnaissance Party;;11226;;Fire Release (Anime only), Yin Release (Anime only);Cursed Seal of Heaven, Fire Release: Dragon Fire Technique (Anime only), Hidden Shadow Snake Hands, Many Hidden Shadow Snake Hands, Sly Mind Affect Technique (Anime only), Snake Clone Technique (Anime only), Summoning Technique (Snake), Twin Snakes Mutual Death Technique;Katar (Manga only), Senbon (Anime only);;;;;12;10;;;;;
Ankorodō Shop Owner;;Boruto Episode #94;Anime, Novel;Mizue Ōtsuka;;;Female;;;;;Shop owner;Konohagakure, Ankorodō;;Naruto Shinden: Parent and Child Day;;;;;;;;;Earth Release;Ankorodō Hiden Ninjutsu: Mochi Release: Infinite Dumplings;;;;;;;;;;;;
Ao;Naruto Chapter #454;Naruto Shippūden Episode #199;Anime, Manga, Novel, Game;Tadahisa Saizen;Steven Blum;August 1;Male;Deceased;182;70.9;A;Fifth Mizukages Bodyguard, Captain of the Sensor Division of the Allied Shinobi Forces, Outer;Kirigakure, Allied Shinobi Forces, Kara;Part II: Jōnin;Sasuke Shinden: Book of Sunrise (Mentioned);;Naruto Shippūden: Ultimate Ninja Impact;;46;Sensor Division;Heki;;;Water Release, Yin Release;Barrier Talisman: Armoured Eye, Sensing Technique, Sensing Water Sphere, Water Release: Water Colliding Wave;Chakra Blade, Jutsu Absorption Arm, Mirror Drone, Shinobi Gauntlet;Byakugan;;;Sensor Type, Hunter-nin;;;;;;;
Aoba Yamashiro;Naruto Chapter #93;Naruto Episode #67;Anime, Manga, Novel, Game, Movie;Kenjirō Tsuda;Wally Wingert;September 3;Male;;178;66;O;;Konohagakure, Allied Shinobi Forces;Part I: Tokubetsu Jōnin;Sasuke Shinden: Book of Sunrise;Naruto the Movie: Blood Prison;Naruto Shippūden: Ultimate Ninja Storm 3;Hidden Leaf Village Grand Sports Festival!;34;Twenty Platoons, Intelligence Division;;9744;;Fire Release (Anime only);Fire Release: Fire Dragon Bullet (Anime only), Psycho Mind Transmission, Scattering Thousand Crows Technique, Secret Technique Stone Needles;;;;;;;;;;;;
Aoda;Naruto Chapter #633;Naruto Shippūden Episode #373;Anime, Manga, Novel, Game;Kōsuke Gotō;Patrick Seitz;October 1;Male;;;;;;Ryūchi Cave, Konohagakure;;Sasuke Shinden: Book of Sunrise;;Naruto Shippūden: Ultimate Ninja Storm Revolution;;;;;;;;;;;;Snake;Summon;;;;;;;
Aoi (game);;;Game;Masumi Asano;Laura Bailey;;Female;;;;;;Tree Felling Village;;;;Naruto Shippūden: Ultimate Ninja 4;;;;;;Tsubaki (Mother);;;;;;;;;;;;;;
Aoi Rokushō;;Naruto Episode #102;Anime, Game;Ryōtarō Okiayu;Cam Clarke;;Male;Deceased;182.5;;;;Konohagakure, Amegakure;Part I: Jōnin;;;Naruto: The Broken Bond;;;Team Oboro;;;;Water Release;Senbon Shower, Umbrella Shock Wave;Poison, Senbon, Sword of the Thunder God, Umbrella;;;;Missing-nin;;;;;;;
Aoneko;;;Game;;;;Male;;;;;Cat Quiz Proprietor;Konohagakure;;;;Naruto: Ultimate Ninja Online;;;;;;;Water Release;;;;;Cat;;;;;;;;
Aosa;;Boruto Episode #229;Anime;Jin Domon;;;Male;;;;;;File:Land of Calm Seas Symbol.svg Land of Calm Seas;;;;;;;;;;;;;;;;;Medical-nin;;;;;;;
Arai;;Boruto Episode #141;Anime;Ryōta Suzuki;Todd Haberkorn;;Male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arashi;;Naruto Episode #137;Anime;Hikaru Midorikawa;Benjamin Diskin;;Male;Deceased;;;;;Otogakure;;;;;;;;;;Sasame (Younger Cousin);;Casualty Puppet, Curse Mandala;;;Fūma Clan (Land of Sound);;;;;;;;;
Arashi Umeya;;;Anime;;;;Male;;;;;;Sunagakure;Part II: Genin;;;;Chūnin Exam on Fire! Naruto vs. Konohamaru!;;;;;;Lightning Release;;Kama;;;;;;;;;;;
Araumi Funato;;Boruto Episode #233;Anime;Shigeru Chiba;;;Male;;;;;Head of the Funato Clan, Pirate;Land of Water;;;;;;;;;;Ikada Funato (Son), Isari Funato (Son), Seiren Funato (Daughter), Minamo Funato (Wife), Tenma Funato (Adoptive Son);Water Release;Water Release: Blood Conversion Technique;Chakra Cannon, Marlin Harpoon, Spear;;Funato Clan;;;;;Gills;;;;
Araya;Boruto Chapter #3;Boruto Episode #55;Anime, Manga, Novel, Movie;Junji Iki;Catero Colbert;March 13;Male;;153;;;;Sunagakure;Gaiden: Chūnin;Boruto: Naruto the Movie;Boruto: Naruto the Movie;;;;Team Shinki;;;;;Puppet Technique (Anime only);Sanshōuo (Anime only), Spear (Anime only), Sword;;;;;;;;;;;
Armadiko;Naruto Chapter #513;Naruto Shippūden Episode #254;Anime, Manga;;;;Male;;;;;;Kumogakure;;;;;;;;;;;;;;;;Armadillo;;;;;;;;
Asaka;;Boruto Episode #160;Anime;Yūsuke Hoshino, Sara Matsumoto (Female);Landon McDonald;;Male;Deceased;;;;;File:Land of Haze Symbol.svg Land of Haze;;;;;;;Haze Quadruplets;;;Hiruga (Brother), Yoruga (Brother), Yūga (Brother);Water Release;Haze Ninja Art: Forbidden Technique: Red Spider Lily, Water Clone Technique;Poison, Tantō;;;;;;;;;;;
Asaki;;Boruto Episode #117;Anime;Yōko Ōsawa;;;Female;;;;;Remons attendant;Daidai Village;;;;;;;;;;;;;;;Yoimura Clan;;;;;;;;;
Asami;Konoha Shinden Chapter #10;Boruto Episode #108 (Mentioned);Anime, Manga, Novel;;;;Female;Deceased;;;;;;;Konoha Shinden: Steam Ninja Scrolls (Mentioned);;;;;;;;Tatsumi (Daughter);;;;;;;;;;;;;;
Ashimaru;;Boruto Episode #40;Anime;Ryūnosuke Watanuki;Aaron LaPlante;;Male;Deceased;;;;;;;;;;;;;Hidari;;;;;Sword;;;;Missing-nin, Mercenary Ninja;;;;;;;
Ashina;;Boruto Episode #67;Anime;Chika Anzai;Cristina Vee;;Female;;;;;Actress;Konohagakure;;;;;;;;;;;;;;;;;;;;;;;;
Ashina Uzumaki;Naruto Chapter #500;Naruto Shippūden Episode #247;Anime, Manga;;;;Male;Deceased;;;;Leader of the Uzumaki Clan;Uzushiogakure;;;;;;67;;;;;;Uzumaki Sealing Technique (Anime only);Sword;;Uzumaki Clan;;;;;;;;;
Ashitaba;;Naruto Shippūden Episode #434;Anime;Aoi Inase;Roger Craig Smith;;Male;Deceased;128;;;;;;;;;;;;;;Kaya (Mother), Komichi (Brother);;;;;;;;;;;;;;
Asuma Sarutobi;Naruto Chapter #34;Naruto Episode #3;Anime, Manga, Novel, Game, Movie;Jūrōta Kosugi, Fujiko Takimoto (Child);Doug Erholtz;October 18;Male;Deceased;190.8;81.6;O;;Konohagakure;Part I: Jōnin;Konoha Shinden: Steam Ninja Scrolls (Mentioned);Naruto Shippūden the Movie: The Will of Fire;Naruto: Konoha Ninpōchō;Hidden Leaf Village Grand Sports Festival!;31;Twelve Guardian Ninja, Team 10, Twenty Platoons;;10829;Sasuke Sarutobi (Grandfather), Hiruzen Sarutobi (Father), Biwako Sarutobi (Mother), Mirai Sarutobi (Daughter), Konohamaru Sarutobi (Nephew), Kurenai Yūhi (Spouse);Wind Release (Affinity), Fire Release;Chakra Blade: Straight Line, Fire Release: Ash Pile Burning, Fire Release: Flint Yagura Technique (Anime only), Flying Swallow, Welcoming Approach: Thousand-Armed Murder (Anime only), Wind Release: Dust Cloud Technique, Wind Release: Verdant Mountain Gale (Anime only);Chakra Blade;;Sarutobi Clan;;;12;9;;;;;
Asura Path (character);Naruto Chapter #379;Naruto Shippūden Episode #127;Anime, Manga, Game;Jin Urayama;Kirk Thornton;;Male;Deceased;189;;;Mercenary;;;;;Naruto Shippūden: Ultimate Ninja Heroes 3;Naruto x UT;;;;;;;Puppet Technique (Anime only);;;;;;;;;;;;
Asura Ōtsutsuki;Naruto Chapter #462;Naruto Shippūden Episode #203;Anime, Manga, Novel, Game, Movie;Ōki Sugiyama, Momoko Ōhara (Child);Chris Hackney , Alex Cazares (Child);June 8;Male;Deceased;;;;;Land of Ancestors (Anime only);;The Last: Naruto the Movie;The Last: Naruto the Movie;Naruto Shippūden: Ultimate Ninja Impact;;;;;;Kaguya Ōtsutsuki (Grandmother), Tenji (Grandfather) (Anime only), Hagoromo Ōtsutsuki (Father), Hamura Ōtsutsuki (Uncle), Indra Ōtsutsuki (Brother), Kanna (Wife) (Anime only);Wood Release (Anime only), Wind Release, Lightning Release, Earth Release, Water Release, Fire Release, Yin Release, Yang Release, Yin–Yang Release;Amenomihashira (Anime only), Chakra Transfer Technique (Anime only), Hands of Bonds (Anime only), Mystical Palm Technique (Anime only), Sage Art Wood Release: True Several Thousand Hands (Anime only), Sensing Technique (Anime only), Six Paths Senjutsu, Six Paths: Kunitsukami, Swift Wind Wall (Anime only), Top Transformed Buddha (Anime only), Truth-Seeking Ball;Shakujō, Sword;Wood Release (Anime only);Ōtsutsuki Clan;Celestial Being-Human hybrid;Sage, Sensor Type;;;;;;;
Atsui;Naruto Chapter #527;Naruto Shippūden Episode #269;Anime, Manga, Game;Shinobu Matsumoto;Todd Haberkorn;August 2;Male;;180;65.3;O;;Kumogakure, Allied Shinobi Forces;Part II: Chūnin;;;Naruto Mobile;;19;First Division;;CL6265;Samui (Sister);Fire Release;Cloud-Style Flame Beheading;Sword;;;;;;;;;;;
Awaji Unabara;;Boruto Episode #233;Anime;Yōhei Matsuoka;;;Male;Deceased;;;;;Land of Water;;;;;;;;;;Sanzui Unabara (Father);;;;;;;;;;;;;;
Ayame;Databook #1;Naruto Episode #52;Anime, Manga, Novel, Game, Movie;Masayo Hosono;Danielle Judovits , Kate Higgins (Naruto: Ultimate Ninja and Episodes 79-101), Laura Bailey (Episodes 63 and 90);February 14;Female;;160;41;O;Waitress;Konohagakure;;Konoha Hiden: The Perfect Day for a Wedding;Naruto Shippūden the Movie: The Will of Fire;Naruto: Konoha Ninpōchō;Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!;17;;;;Teuchi (Father);;;;;;;;;;;;;;
Azami;;Naruto Shippūden Episode #312;Anime;Mariko Mizuno;Cristina Vee;;Female;;;;;;Konohagakure;;;;;;;;;;Chen (Grandfather);;;;;;;;;;;;;;
Azure Fang;;;Game;;;;Female;;163.3;46.5;A;;Konohagakure;Part II: Academy Student;;;Naruto: Ultimate Ninja Online;;16;;;;;Water Release;Chakra Enhanced Strength, Chakra Scalpel, Healing Resuscitation Regeneration Technique, Mystical Palm Technique, Poison Mist, Summoning Technique (Ninken, Toad), Water Clone Technique, Water Release: Great Shark Bullet Technique, Water Release: Great Water Arm Technique, Water Release: Running Water Whip, Water Release: Water Dragon Bullet Technique, Water Release: Water Shark Bullet Technique, Water Release: Water Trumpet;Poison, Tantō;;;;Medical-nin;;;;;;;
Babu;;Naruto Shippūden Episode #416;Anime;Minoru Kawai;Todd Haberkorn;;Male;Deceased;;;;;Yugakure;;;;;;;Team Iwato;;;;;;;;;;;;;;;;;
Baiu;Naruto Chapter #58;Naruto Episode #21;Anime, Manga, Game;Takayuki Fujimoto;Robbie Rist;May 30;Male;Deceased;140.3;40;A;;Amegakure;Part I: Genin;;;Naruto: Ultimate Ninja Online;;18;Team Shigure;;R2-039;;;;Umbrella;;;;;;;;;;;
Baji;;Naruto Shippūden Episode #195;Anime;Hiroyuki Kinoshita;Jamieson Price;;Male;;;;;Bandit leader;;;;;;;;;;;;;Heavenly Punishment, Secret Technique: Mouth Seal Technique;;;;;;;;;;;;
Baki;Naruto Chapter #65;Naruto Episode #37;Anime, Manga, Novel, Game, Movie;Jōji Nakata;Sam Riegel , Richard Casino (Naruto: Ultimate Ninja);July 4;Male;;188.2;80;A;Senior;Sunagakure;Part I: Jōnin;Gaara Hiden: A Sandstorm Mirage;Naruto Shippūden the Movie: The Will of Fire;Naruto: Ultimate Ninja;Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!;34;Three Sand Siblings, Suna Council;;38-212;;Wind Release;Blade of Wind;;;;;;12;8;;;;;
